www.aftonbladet.se,5537331,86722111
Aftonbladet ettan,4411630,38665634
Aftonbladet nyheter,2668819,12732310
Aftonbladet sportbladet,1879026,14925372
Aftonbladet Webb-Tv,1796998,4836588
Aftonbladet nöjesbladet,1732893,7526416
Aftonbladet Min Ekonomi,583645,968751
Aftonbladet sofismode,313695,1099614
Aftonbladet Resa,300832,449189
Aftonbladet bil,260915,463161
Aftonbladet Hälsa,182473,263540
Aftonbladet Wendela,156309,327358
Aftonbladet Wellness,155441,323468
Aftonbladet AppGuiden,71412,99121
blocket.se,3991276,186304115
blocket.se Jobb,183497,768392
MK-Tidningsnätet,3150818,28501411
hd.se,336973,2168426
hd.se Startsidan,149658,738330
hd.se helsingborg,77354,213543
hd.se sport,47869,173778
hd.se 24HDPlay,15660,25285
vk.se,218393,2716551
vk.se Startsidan,122334,872799
dt.se,199690,2003741
dt.se nyheter,160615,1305470
na.se,164825,1533976
na.se nyheter,143454,1128576
unt.se,157688,949388
nsd.se,148416,1314081
nwt.se,130695,741682
corren.se,119550,1051757
Skanskan.se,119272,621630
st.nu,119198,1117604
barometern.se,117159,656521
nt.se,116321,943592
kuriren.nu,111672,899977
smp.se,106366,635615
bt.se,102545,702651
allehanda.se,100396,878850
op.se,95362,1042033
kristianstadsbladet.se,88820,793530
vlt.se,87107,774055
gd.se,79446,531412
norran.se,75576,823487
ekuriren.se,72932,541099
arbetarbladet.se,70961,367513
helahalsingland.se,64729,495287
helagotland.se,56726,665314
ystadsallehanda.se,51695,434929
sn.se,49066,340669
bltsydostran.se,48231,408995
bohuslaningen.se,47463,427203
ltz.se,46976,404563
pitea-tidningen.se,46508,284342
folkbladet.nu,44687,233534
ttela.se,44294,394051
lt.se,43775,309158
dagbladet.se,40192,171171
hallandsposten.se,40079,355634
hn.se,39106,305089
nlt.se,33630,263947
Östran/Nyheterna,32616,155738
vt.se,30839,249210
Norraskåne.se,29683,173831
folkbladet.se,28226,143006
trelleborgsallehanda.se,21672,172148
kkuriren.se,21099,139980
folket.se,7742,19582
Laholmstidning.se,5894,28045
NynashamnsPosten,4224,19075
hitta.se,3011044,17784897
Citypaketet Webb,2441488,21788911
DN.se,1718884,12761654
DN.se Förstasidan,1177319,6072104
DN.se Ekonomi,387406,998254
DN.se Kultur & Nöje,246745,509032
DN.se Sport,226962,551640
DN.se Sthlm,210106,394846
DN.se Livsstil,84335,129905
gp.se,603547,4583278
gp.se nyheter,491235,3750369
GP.se Sports,0,0
Sydsvenskan.se,510404,3028529
www.expressen.se,2432960,26841955
Expressen Nyheter,1015958,3638230
Expressen Sport,699108,4092440
Expressen Nöje,610380,2013291
Expressen Kvällsposten,490694,1515009
Expressen GT,428417,1632368
Expressen WebbTV,423379,1024305
Expressen Hälsa,224537,413242
Expressen Mode,107059,233059
Expressen Allt om Bilar,103448,285486
Expressen Leva & Bo,92370,181880
Expressen Allt om Resor,77066,215392
www.eniro.se,2348802,16144997
Eniro.se Förstasidan,1166956,2337306
Eniro.se Företag,1112928,3303899
Eniro.se Personer,968578,3113410
Eniro.se Kartor,959839,6615122
Bonnier Tidskrifter Nätverk,1842721,11896731
alltommat.se,250540,1011507
mama.nu,162808,1144359
Feber,158436,1661445
amelia.se,154800,760123
veckorevyn.com,139019,824398
teknikensvarld.se,125437,663168
Carolines Mode,90063,991606
viforaldrar.se,67463,216632
alltomtradgard.se,67171,256818
damernas.com,66868,352989
skonahem.com,59992,335538
www.topphalsa.se,13669,149997
m-magasin.se,12035,115530
tara.se,9700,93852
www.alltihemmet.se,8612,88955
familyliving.se,6529,84822
Aftonbladet WebbTV,1796998,4836588
Aftonbladet webbtv:nyheter,1201607,2583058
Aftonbladet webbtv:noje,753106,1411575
Aftonbladet webbtv:sport,491820,840562
DN.se,1718884,12761654
DN.se Förstasidan,1177319,6072104
DN.se Ekonomi,387406,998254
DN.se Kultur & Nöje,246745,509032
DN.se Sport,226962,551640
DN.se Sthlm,210106,394846
DN.se Livsstil,84335,129905
svd.se,1528903,10254148
SVD Näringsliv,831847,3279172
SVD Ettan,560034,3192082
SVD Nyheter,486265,1728800
SVD Kultur,306967,874255
SVD Opinion,152411,379219
SVD Sport,119335,261858
hemnet.se,1517106,20536712
Sportsverige Nätverk,1440864,15023707
Laget.se,549579,5136312
Eliteprospects.com,313682,3854903
Svenskalag.se,237566,2556349
TVmatchen.nu,90713,231215
Shapemeup.se,85212,361342
Dif.se,68025,439269
MrMadhawk.se,65565,355761
Hockeysverige.se,61630,414878
Goalwire.com,55870,220899
Fotbolltransfers.com,39860,181906
Svartgul.se,31552,310102
Svartgul.se - Gnagarforum,22447,241138
Svartgul.se - Startsidan,16320,69102
Everysport.com,26763,216047
SportTV.nu,26046,82467
Travnet.se,15846,108767
Liverpoolfc.nu,14322,121882
Fotbolldirekt.se,11826,83366
Bandysverige.se,10152,48976
Shapelink.com,6516,102378
Unitedsverige.se,6256,55485
Basketsverige.se,5883,32167
PLdirekt.se,125,350
tv.nu,918854,11043008
di.se,913259,13332379
vastpaketet.se,890798,6501573
gp.se,603547,4583278
gp.se nyheter,491235,3750369
bt.se,102545,702651
bohuslaningen.se,47463,427203
ttela.se,44294,394051
hallandsposten.se,40079,355634
hn.se,39106,305089
alingsastidning.se,14675,89703
Hela Skåne,890746,7492836
Sydsvenskan.se,510404,3028529
hd.se,336973,2168426
hd.se Startsidan,149658,738330
hd.se helsingborg,77354,213543
hd.se sport,47869,173778
hd.se 24HDPlay,15660,25285
www.Skanskan.se,119272,621630
kristianstadsbladet.se,88820,793530
ystadsallehanda.se,51695,434929
Norraskåne.se,29683,173831
trelleborgsallehanda.se,21672,172148
prisjakt.nu,878275,5620829
SL,834911,4633839
MittMedia,766569,6185640
dt.se,199690,2003741
dt.se nyheter,160615,1305470
st.nu,119198,1117604
allehanda.se,100396,878850
op.se,95362,1042033
gd.se,79446,531412
arbetarbladet.se,70961,367513
helahalsingland.se,64729,495287
ltz.se,46976,404563
dagbladet.se,40192,171171
Egmont Tidskrifter Nätverk,752509,3964918
zatzy.com,113359,315413
automotorsport.se,92471,481617
hemmetsjournal.se,92288,499828
fz.se,81932,839463
sporthoj.com,74675,553592
body.se,66030,237319
kingmagazine.se,28062,187372
batborsen.se,25489,159702
vagabond.se,23905,68872
Manolo.se,22294,88639
annonsborsen.se,21437,107183
husvagnochcamping.se,14092,57172
datormagazin.se,12665,29304
travelnews.se,11344,49404
classicmotor.se,10419,37964
campingborsen.se,9414,41890
sportfack.se,7554,26426
motorborsen.se,6030,25942
mcborsen.se,6007,20422
veteranborsen.se,3809,33233
pchemma.se,3363,5957
pcgamer.se,2342,8205
wheelsmagazine.se,1338,3780
Familjepaketet,746221,3924893
alltforforaldrar.se,363180,1620918
FEMME,112544,1189271
Minbebis.com,103164,459428
blimamma.se,41673,172294
loppi.se,36000,194056
Gravid.se,22244,88198
BarnTotal.se,18053,35378
babyvarlden.se,17433,39731
mammasidan.se,15412,62466
Dopguiden.se,10477,40634
barnsajten.se,7565,17977
Klart.se,734432,4492176
MTG TV - och Radio nätverk,641792,4650632
MTG TV - Nätverk,544422,4134990
TV3,277768,1340331
TV6,136102,594078
Kolla.tv,87904,359054
Viasatsport,49849,216907
TV8,31873,177524
TV10,8188,18395
MTG Radio - Nätverk,104795,515578
RIXFM,55603,258770
Bandit,24851,114423
Lugna Favoriter,16234,72051
Radio 1,11442,65512
Power Hit Radio,2336,4822
gp.se,603547,4583278
gp.se nyheter,491235,3750369
GP.se Sports,0,0
Aftonbladet Min Ekonomi: Min Ekonomi,583645,968751
Laget.se,549579,5136312
Norrgruppen webb,548270,5790450
vk.se,218393,2716551
vk.se Startsidan,122334,872799
nsd.se,148416,1314081
kuriren.nu,111672,899977
norran.se,75576,823487
pitea-tidningen.se,46508,284342
folkbladet.nu,44687,233534
MTG TV - Nätverk,544422,4134990
TV3.se,277768,1340331
TV6.se,136102,594078
Kolla.tv,87904,359054
Viasatsport.se,49849,216907
TV8.se,31873,177524
TV10.se,8188,18395
IDG.se nätverk,521824,2955879
IDG.se,246294,1621073
pcforalla.idg.se,181985,487131
macworld.idg.se,150902,597871
computersweden.idg.se,112942,311232
techworld.idg.se,65285,177185
m3.idg.se,61256,162504
it24.idg.se,31638,77962
csjobb.idg.se,22490,75226
studio.idg.se,19956,91766
cio.idg.se,15861,22393
internetworld.idg.se,13581,24610
capdesign.idg.se,12600,35522
miljoaktuellt.idg.se,9594,26691
Upphandling24,5819,18347
lifescience.idg.se,4792,15555
androidguiden.idg.se,3969,10249
Sydsvenskan.se,510404,3028529
Reseguiden - Total,440912,2280395
Reseguiden.se,312791,1657655
Expressen Webb-TV,423379,1024305
Egmont Tidskrifter Nätverk Motor,384526,1856079
zatzy.com,113359,315413
automotorsport.se,92471,481617
sporthoj.com,74675,553592
batborsen.se,25489,159702
annonsborsen.se,21437,107183
husvagnochcamping.se,14092,57172
classicmotor.se,10419,37964
campingborsen.se,9414,41890
motorborsen.se,6030,25942
mcborsen.se,6007,20422
veteranborsen.se,3809,33233
wheelsmagazine.se,1338,3780
Bytbil.se,376596,5246627
allabolag.se,371259,4829736
alltforforaldrar.se,363180,1620918
tasteline.com,340559,1447533
Tasteline Recept,310005,984754
hd.se,336973,2168426
hd.se Startsidan,149658,738330
hd.se helsingborg,77354,213543
hd.se sport,47869,173778
hd.se 24HDPlay,15660,25285
Alltomstockholm.se,328613,512309
Synonymer.se,320976,1874175
Ticnet.se,318104,3282498
Eliteprospects.com,313682,3854903
Reseguiden,312791,1657655
Lokaldelen Group,294761,772977
Lokaldelen.se,160178,436151
Foretagsfakta.se,139031,303498
Tupalo.se,22185,31871
SweClockers.com,292585,3564928
Talentum Nätverk,276813,1348385
Ny Teknik,108121,489938
www.affarsvarlden.se,91964,506121
www.dagensmedia.se,60968,295970
Lag o Avtal,6267,14199
Arbetarskydd.se,4317,9459
vk.se + folkbladet.nu,271141,2726063
vk.se,218393,2716551
vk.se Startsidan,122334,872799
folkbladet.nu,44687,233534
Studentum,268022,1206808
studentum.se,78646,451258
kurser.se,19210,73195
utbildning.se,16162,50173
alltommat.se,250540,1011507
Svenskalag.se,237566,2556349
vk.se,218393,2716551
vk.se Startsidan,122334,872799
Finanspaketet,204697,2647401
placera.nu,182989,2434476
Redeye.se,23075,97268
Morningstar.se,11985,115657
dt.se,199690,2003741
dt.se nyheter,160615,1305470
blocket Jobb,183497,768392
placera.nu,182989,2434476
pcforalla.idg.se,181985,487131
monster.se,172101,1094064
na.se,164825,1533976
na.se nyheter,143454,1128576
mama.nu,162808,1144359
Careerbuilder,162341,591944
Lokaldelen.se,160178,436151
Feber,158436,1661445
SKD-nätverk,158258,794502
Norraskåne.se,29683,173831
Laholmstidning.se,5894,28045
unt.se,157688,949388
BYGGmax,155924,1227485
qruiser.com,155912,21835016
Motorvärlden-nätverket,155291,650116
www.vibilagare.se,93259,340252
bike.se,27756,94062
Bilgaraget.se,26243,129671
begkopguiden.se,9345,28000
husbilochhusvagn.se,5451,17173
klassiker.nu,4875,22578
mcnytt.se,4164,11898
automobil.se,1682,2955
motorvarlden.se,453,852
riksettan.se,453,852
amelia.se,154800,760123
Leta.se,153825,2284053
www.st.nu,119198,1117604
dagbladet.se,40192,171171
macworld.idg.se,150902,597871
nsd.se,148416,1314081
Computer Sweden nätverket,140298,468650
computersweden.idg.se,112942,311232
it24.idg.se,31638,77962
csjobb.idg.se,22490,75226
Foretagsfakta.se,139031,303498
veckorevyn.com,139019,824398
internetmedicin.se,136125,478053
TV6.se,136102,594078
golf.se,136078,1512890
GävleTidningar,135737,774561
gd.se,79446,531412
arbetarbladet.se,70961,367513
jnytt.se,132338,1284460
nwt.se,130695,741682
Forma_Sverige_Konsument,126155,494805
